date,player,stat,line,direction,predicted_prob,decision,actual_result,role,gate_warnings,stat_type
2026-01-27,Isaiah Stewart,DET,reb+ast,5.5,higher,0.7140000000000001,2,0,LEAN
2026-01-27,Cam Thomas,BKN,reb+ast,3.5,higher,0.7140000000000001,6,1,LEAN
2026-01-27,Isaiah Collier,UTA,reb+ast,12.5,lower,0.7140000000000001,13,0,LEAN
2026-01-27,Donovan Clingan,POR,reb+ast,11.5,higher,0.7140000000000001,22,1,LEAN
2026-01-27,Mikal Bridges,NYK,reb+ast,8.0,lower,0.7140000000000001,8,0,LEAN
2026-01-27,Precious Achiuwa,SAC,reb+ast,4.5,higher,0.7140000000000001,5,1,LEAN
2026-01-27,Miles McBride,NYK,reb+ast,4.5,higher,0.7140000000000001,6,1,LEAN
2026-01-27,Ryan Rollins,MIL,reb+ast,11.5,lower,0.7140000000000001,12,0,LEAN
2026-01-27,Myles Turner,MIL,reb+ast,8.5,lower,0.7140000000000001,7,1,LEAN
2026-01-27,Caleb Love,POR,rebounds,2.5,higher,0.7255608398258471,2,0,LEAN
2026-01-27,Miles McBride,NYK,rebounds,1.5,higher,0.7956,2,1,LEAN
2026-01-27,Kyle Kuzma,MIL,rebounds,6.0,lower,0.7602755397295852,8,0,LEAN
2026-01-27,Jeremiah Fears,NOP,rebounds,2.5,higher,0.7956,2,0,LEAN
2026-01-27,Isaiah Stewart,DET,points,4.5,higher,0.6337548637503587,7,1,LEAN
2026-01-27,Isaiah Collier,UTA,points,13.5,lower,0.6239706577788653,12,1,LEAN
