player_name,games,points_avg,rebounds_avg,assists_avg,steals_avg,blocks_avg,turnovers_avg,fg3_made_avg,minutes_avg,pra_avg,fg_pct,fg3_pct,ft_pct,last_updated
Stephen Curry,15,24.933333333333334,2.8,5.933333333333334,1.0,0.26666666666666666,2.4,4.133333333333334,30.733333333333334,33.666666666666664,47.9,39.2,93.9,2026-01-30T23:21:49.964765
Cade Cunningham,15,22.533333333333335,4.466666666666667,10.533333333333333,1.6,0.8666666666666667,3.933333333333333,1.6666666666666667,34.0,37.53333333333333,45.7,33.3,79.8,2026-01-30T23:21:50.746965
Duncan Robinson,15,11.4,2.2666666666666666,1.5333333333333334,0.4,0.4,0.8,2.6,26.0,15.2,43.5,38.2,63.2,2026-01-30T23:21:52.205966
Cam Thomas,10,9.9,2.3,3.7,0.0,0.1,1.7,1.0,22.5,15.9,32.7,26.3,75.0,2026-01-30T23:21:34.510123
Buddy Hield,15,7.866666666666666,2.1333333333333333,1.1333333333333333,0.7333333333333333,0.4666666666666667,0.6666666666666666,1.6666666666666667,14.466666666666667,11.133333333333333,49.4,43.9,75.0,2026-01-30T23:21:51.481382
